87 63 64 65 59 64 65 65 0.343750 0.571429 0.500000 0.190476 0.285714 0.600000 0.666667 0.642857 4 3 0.000000 -0.029612 1 6 0.059225 0.059225 1 0.476190 
88 63 63 65 59 64 65 65 0.375000 0.571429 0.437500 0.190476 0.285714 0.600000 0.666667 0.642857 4 3 0.000000 -0.029612 1 6 0.059225 0.059225 1 0.476190 
88 63 64 65 60 64 65 65 0.375000 0.571429 0.500000 0.190476 0.357143 0.600000 0.666667 0.642857 3 3 -0.029612 -0.029612 1 6 0.059225 0.059225 1 0.476190 
87 65 65 65 59 63 65 65 0.343750 0.714286 0.562500 0.190476 0.285714 0.533333 0.666667 0.642857 4 3 0.000000 -0.029612 1 1 -0.088837 -0.088837 1 0.523810 
87 64 65 65 61 64 62 66 0.343750 0.642857 0.562500 0.190476 0.428571 0.600000 0.466667 0.714286 3 3 -0.029612 -0.029612 1 7 0.088838 0.088838 1 0.523810 
88 63 63 65 60 63 66 65 0.375000 0.571429 0.437500 0.190476 0.357143 0.533333 0.733333 0.642857 3 3 -0.029612 -0.029612 1 6 0.059225 0.059225 1 0.542857 
88 63 64 65 59 63 64 65 0.375000 0.571429 0.500000 0.190476 0.285714 0.533333 0.600000 0.642857 4 3 0.000000 -0.029612 1 7 0.088838 0.088838 1 0.452381 
88 62 65 67 57 62 65 65 0.375000 0.500000 0.562500 0.285714 0.142857 0.466667 0.666667 0.642857 4 3 0.000000 -0.029612 1 6 0.059225 0.059225 1 0.523810 
88 62 66 68 56 61 63 65 0.375000 0.500000 0.625000 0.333333 0.071429 0.400000 0.533333 0.642857 4 4 0.000000 0.000000 1 7 0.088838 0.088838 1 0.571429 
90 64 65 70 59 59 63 63 0.437500 0.642857 0.562500 0.428571 0.285714 0.266667 0.533333 0.500000 5 4 0.029612 0.000000 1 1 -0.088837 -0.088837 1 0.376190 
90 63 66 69 59 59 62 64 0.437500 0.571429 0.625000 0.380952 0.285714 0.266667 0.466667 0.571429 5 4 0.029612 0.000000 1 2 -0.059225 -0.059225 1 0.358333 
90 63 66 69 56 59 64 65 0.437500 0.571429 0.625000 0.380952 0.071429 0.266667 0.600000 0.642857 5 4 0.029612 0.000000 1 7 0.088838 0.088838 1 0.571429 
88 63 67 70 58 59 62 65 0.375000 0.571429 0.687500 0.428571 0.214286 0.266667 0.466667 0.642857 5 4 0.029612 0.000000 1 2 -0.059225 -0.059225 1 0.473214 
89 63 66 67 57 60 65 64 0.406250 0.571429 0.625000 0.285714 0.142857 0.333333 0.666667 0.571429 4 3 0.000000 -0.029612 1 6 0.059225 0.059225 1 0.523810 
87 62 65 69 56 62 63 65 0.343750 0.500000 0.562500 0.380952 0.071429 0.466667 0.533333 0.642857 4 4 0.000000 0.000000 1 7 0.088838 0.088838 1 0.571429 
87 62 65 68 56 61 64 67 0.343750 0.500000 0.562500 0.333333 0.071429 0.400000 0.600000 0.785714 4 4 0.000000 0.000000 1 7 0.088838 0.088838 1 0.714286 
88 63 65 68 58 61 64 65 0.375000 0.571429 0.562500 0.333333 0.214286 0.400000 0.600000 0.642857 4 4 0.000000 0.000000 1 7 0.088838 0.088838 1 0.428571 
88 63 65 67 57 61 63 64 0.375000 0.571429 0.562500 0.285714 0.142857 0.400000 0.533333 0.571429 4 3 0.000000 -0.029612 1 1 -0.088837 -0.088837 1 0.428571 
87 64 66 67 57 61 63 64 0.343750 0.642857 0.625000 0.285714 0.142857 0.400000 0.533333 0.571429 4 3 0.000000 -0.029612 1 1 -0.088837 -0.088837 1 0.500000 
89 62 66 68 56 60 64 65 0.406250 0.500000 0.625000 0.333333 0.071429 0.333333 0.600000 0.642857 4 4 0.000000 0.000000 1 7 0.088838 0.088838 1 0.571429 
88 63 64 68 57 59 63 63 0.375000 0.571429 0.500000 0.333333 0.142857 0.266667 0.533333 0.500000 5 4 0.029612 0.000000 1 1 -0.088837 -0.088837 1 0.428571 
89 62 65 69 57 59 63 63 0.406250 0.500000 0.562500 0.380952 0.142857 0.266667 0.533333 0.500000 5 4 0.029612 0.000000 1 2 -0.059225 -0.059225 1 0.419643 
89 63 64 67 57 58 64 63 0.406250 0.571429 0.500000 0.285714 0.142857 0.200000 0.600000 0.500000 5 3 0.029612 -0.029612 1 6 0.059225 0.059225 1 0.457143 
88 63 65 70 57 59 63 63 0.375000 0.571429 0.562500 0.428571 0.142857 0.266667 0.533333 0.500000 5 4 0.029612 0.000000 1 1 -0.088837 -0.088837 1 0.428571 
87 63 66 70 57 59 62 62 0.343750 0.571429 0.625000 0.428571 0.142857 0.266667 0.466667 0.428571 5 4 0.029612 0.000000 1 2 -0.059225 -0.059225 1 0.482143 
89 63 65 70 58 58 62 64 0.406250 0.571429 0.562500 0.428571 0.214286 0.200000 0.466667 0.571429 5 4 0.029612 0.000000 1 1 -0.088837 -0.088837 1 0.371429 
88 64 65 70 58 59 62 63 0.375000 0.642857 0.562500 0.428571 0.214286 0.266667 0.466667 0.500000 5 4 0.029612 0.000000 1 1 -0.088837 -0.088837 1 0.428571 
88 63 66 68 58 58 62 63 0.375000 0.571429 0.625000 0.333333 0.214286 0.200000 0.466667 0.500000 5 4 0.029612 0.000000 1 2 -0.059225 -0.059225 1 0.425000 
89 63 65 70 57 59 63 64 0.406250 0.571429 0.562500 0.428571 0.142857 0.266667 0.533333 0.571429 5 4 0.029612 0.000000 1 1 -0.088837 -0.088837 1 0.428571 
